speaker,L1,L1_family,noun_lemma,numeral,numeral_type,dice_coefficient,proportion
Daghestan_58,Itsari Dargwa,East Caucasian,класс,три-четыре,paucal,5.21783969245816,0.10854138396664623
Daghestan_58,Itsari Dargwa,East Caucasian,учительница,три,paucal,1.04905555015449,0.2556679166702068
Daghestan_58,Itsari Dargwa,East Caucasian,дочь,две,paucal,6.03282687841952,0.09112601522019549
Daghestan_58,Itsari Dargwa,East Caucasian,внук,два,paucal,3.09999502827044,0.17757035417737094
Daghestan_58,Itsari Dargwa,East Caucasian,внучка,две,paucal,1.49664632022382,0.2379866186266428
Daghestan_58,Itsari Dargwa,East Caucasian,урок,пять,other,3.93049975236568,0.08827021188689534
Daghestan_58,Itsari Dargwa,East Caucasian,урок,пять,other,3.93049975236568,0.08733066162385142
Daghestan_58,Itsari Dargwa,East Caucasian,урок,шесть,other,3.93049975236568,0.08949919298064261
Daghestan_58,Itsari Dargwa,East Caucasian,урок,пять,other,3.93049975236568,0.08825998399258761
Daghestan_58,Itsari Dargwa,East Caucasian,год,два,paucal,9.22440006137166,0.04398168723895454
Daghestan_58,Itsari Dargwa,East Caucasian,километр,шесть,other,8.67576822984004,0.028694208679762943
Daghestan_58,Itsari Dargwa,East Caucasian,километр,шесть,other,8.67576822984004,0.029355711485143446
Daghestan_58,Itsari Dargwa,East Caucasian,километр,шесть,other,8.67576822984004,0.029641217034817344
Daghestan_58,Itsari Dargwa,East Caucasian,километр,восемь,other,8.67576822984004,0.02865824587564189
Daghestan_58,Itsari Dargwa,East Caucasian,день,пятнадцать,other,7.62553093928441,0.03648971626241757
Daghestan_58,Itsari Dargwa,East Caucasian,аспирант,два,paucal,0.361326340274311,0.3464759692328804
Daghestan_58,Itsari Dargwa,East Caucasian,год,шесть-семь,other,9.22440006137166,0.025008193251582905
Daghestan_58,Itsari Dargwa,East Caucasian,месяц,семь,other,8.24186141927984,0.03203993687545533
Daghestan_58,Itsari Dargwa,East Caucasian,год,тридцать,other,9.22440006137166,0.026234939630572208
Daghestan_58,Itsari Dargwa,East Caucasian,год,шестьдесят,other,9.22440006137166,0.025371589599513085
Daghestan_58,Itsari Dargwa,East Caucasian,брат,два,paucal,5.6202696610064,0.10182934458045463
Daghestan_58,Itsari Dargwa,East Caucasian,селение,три,paucal,3.80706057915161,0.14928282282819066
Daghestan_58,Itsari Dargwa,East Caucasian,женщина,две,paucal,6.5910560184446,0.0797128310457686
Daghestan_58,Itsari Dargwa,East Caucasian,сестра,три,paucal,5.12089363108058,0.11231942336199817
Daghestan_58,Itsari Dargwa,East Caucasian,год,два,paucal,9.22440006137166,0.042111667928779864
Daghestan_58,Itsari Dargwa,East Caucasian,сестра,две,paucal,5.12089363108058,0.11182950603506155
Daghestan_58,Itsari Dargwa,East Caucasian,мельница,три,paucal,2.99079028899338,0.17803605117427912
Daghestan_58,Itsari Dargwa,East Caucasian,язык,два,paucal,5.36456018317068,0.10553015707470395
Daghestan_58,Itsari Dargwa,East Caucasian,год,пять,other,9.22440006137166,0.025813116677323708
Daghestan_58,Itsari Dargwa,East Caucasian,селение,семь,other,3.80706057915161,0.08847735764522478
Daghestan_58,Itsari Dargwa,East Caucasian,селение,семь,other,3.80706057915161,0.09018004392175369
Daghestan_58,Itsari Dargwa,East Caucasian,год,четыреста-пятьсот,other,9.22440006137166,0.02454641446641394
Daghestan_59,Itsari Dargwa,East Caucasian,тысяча,пятнадцать,other,9.24128882060055,0.025542616883902122
Daghestan_59,Itsari Dargwa,East Caucasian,тысяча,пятнадцать,other,9.24128882060055,0.025903339673500857
Daghestan_59,Itsari Dargwa,East Caucasian,баран,три,paucal,3.5756552667268102,0.16134211180793032
Daghestan_59,Itsari Dargwa,East Caucasian,баран,три,paucal,3.5756552667268102,0.16094447353966154
Daghestan_59,Itsari Dargwa,East Caucasian,километр,сорок,other,8.67576822984004,0.029106771568056754
Daghestan_59,Itsari Dargwa,East Caucasian,слово,семь,other,5.19948725536907,0.06724408909993548
Daghestan_59,Itsari Dargwa,East Caucasian,слово,три,paucal,5.19948725536907,0.11141114962939751
Daghestan_59,Itsari Dargwa,East Caucasian,год,двенадцать,other,9.22440006137166,0.025978815072334516
Daghestan_59,Itsari Dargwa,East Caucasian,год,десять,other,9.22440006137166,0.025762566209072833
Daghestan_59,Itsari Dargwa,East Caucasian,орден,два,paucal,3.3683980314654,0.167896103332168
Daghestan_59,Itsari Dargwa,East Caucasian,орден,две,paucal,3.3683980314654,0.16888671867405014
Daghestan_59,Itsari Dargwa,East Caucasian,рана,тринадцать,other,3.79844275444141,0.09294194469536812
