set,H,n_villages,n_categories,V1,V2,V3
-Inf,1.0639993696997976,40,3,26,13,1
-Inf,1.1411535278793057,40,3,26,12,2
-Inf,1.1964263954163088,40,3,26,11,3
-Inf,1.2361602543738117,40,3,26,10,4
-Inf,1.2631681409102118,40,3,26,9,5
-Inf,1.278897902987479,40,3,26,8,6
-Inf,1.284068055375491,40,3,26,7,7
-Inf,1.086943753557998,40,3,25,14,1
-Inf,1.1668750678823046,40,3,25,13,2
-Inf,1.225157038507726,40,3,25,12,3
-Inf,1.2681742811529026,40,3,25,11,4
-Inf,1.2987949406953985,40,3,25,10,5
-Inf,1.3185404758454657,40,3,25,9,6
-Inf,1.3282308649180787,40,3,25,8,7
-Inf,1.1058666211014743,40,3,24,15,1
-Inf,1.1883763717345073,40,3,24,14,2
-Inf,1.2494354985047271,40,3,24,13,3
-Inf,1.295461844238322,40,3,24,12,4
-Inf,1.3293658874684917,40,3,24,11,5
-Inf,1.3527241956246545,40,3,24,10,6
-Inf,1.3664303577700676,40,3,24,9,7
-Inf,1.3709505944546687,40,3,24,8,8
-Inf,1.12087997015458,40,3,23,16,1
-Inf,1.2057959968013856,40,3,23,15,2
-Inf,1.2694335598803317,40,3,23,14,3
-Inf,1.3182370617587251,40,3,23,13,4
-Inf,1.3551502080773128,40,3,23,12,5
-Inf,1.3817918999211498,40,3,23,11,6
-Inf,1.3991108350726587,40,3,23,10,7
-Inf,1.4076468448300596,40,3,23,9,8
-Inf,1.1320689971054547,40,3,22,17,1
-Inf,1.2192407046368487,40,3,22,16,2
-Inf,1.2852845437295677,40,3,22,15,3
-Inf,1.3366664819166874,40,3,22,14,4
-Inf,1.3763567843800737,40,3,22,13,5
-Inf,1.4060075793123286,40,3,22,12,6
-Inf,1.4266098981515114,40,3,22,11,7
-Inf,1.4387586809150081,40,3,22,10,8
-Inf,1.4427744539878082,40,3,22,9,9
-Inf,1.1394951972794727,40,3,21,18,1
-Inf,1.228789740397119,40,3,21,17,2
-Inf,1.2970892603744264,40,3,21,16,3
-Inf,1.3508774745753187,40,3,21,15,4
-Inf,1.3931462133474315,40,3,21,14,5
-Inf,1.4255741644244848,40,3,21,13,6
-Inf,1.4491855863520857,40,3,21,12,7
-Inf,1.4646177528032565,40,3,21,11,8
-Inf,1.4722462988821523,40,3,21,10,9
-Inf,1.143198478557978,40,3,20,19,1
-Inf,1.2344977967946407,40,3,20,18,2
-Inf,1.3049201523582004,40,3,20,17,3
-Inf,1.360964047443681,40,3,20,16,4
-Inf,1.4056390622295665,40,3,20,15,5
-Inf,1.4406454496153462,40,3,20,14,6
-Inf,1.4670340276877456,40,3,20,13,7
-Inf,1.4854752972273344,40,3,20,12,8
-Inf,1.496387226993904,40,3,20,11,9
-Inf,1.5,40,3,20,10,10
-Inf,1.236396957115956,40,3,19,19,2
-Inf,1.308824087798532,40,3,19,18,3
-Inf,1.366990818470265,40,3,19,17,4
-Inf,1.4139215141407389,40,3,19,16,5
-Inf,1.4513341775402915,40,3,19,15,6
-Inf,1.480301191921417,40,3,19,14,7
-Inf,1.5015196176058043,40,3,19,13,8
-Inf,1.5154406504607922,40,3,19,12,9
-Inf,1.522336807154562,40,3,19,11,10
-Inf,1.3689955935892815,40,3,18,18,4
-Inf,1.4180491248460074,40,3,18,17,5
-Inf,1.4577174691301482,40,3,18,16,6
-Inf,1.4890907595250469,40,3,18,15,7
-Inf,1.5128876215181604,40,3,18,14,8
-Inf,1.5295858105179467,40,3,18,13,9
-Inf,1.5394910703001345,40,3,18,12,10
-Inf,1.5427744539878083,40,3,18,11,11
-Inf,1.4598403047164006,40,3,17,17,6
-Inf,1.4934692759958874,40,3,17,16,7
-Inf,1.5196724140027738,40,3,17,15,8
-Inf,1.5389490393112863,40,3,17,14,9
-Inf,1.5516314552382728,40,3,17,13,10
-Inf,1.5579239420143645,40,3,17,12,11
-Inf,1.5219280948873621,40,3,16,16,8
-Inf,1.5436109962096476,40,3,16,15,9
-Inf,1.55887184844536,40,3,16,14,10
-Inf,1.5679414913662506,40,3,16,13,11
-Inf,1.5709505944546684,40,3,16,12,12
-Inf,1.561278124459133,40,3,15,15,10
-Inf,1.5729262036887497,40,3,15,14,11
-Inf,1.5787124629219662,40,3,15,13,12
-Inf,1.5812908992306927,40,3,14,14,12
-Inf,1.5840680553754911,40,3,14,13,13
