set,H,n_villages,n_categories,V1,V2,V3
-Inf,0.3363969571159562,40,3,38,1,1
-Inf,0.4531837316805838,40,3,37,2,1
-Inf,0.5501234060351945,40,3,36,3,1
-Inf,0.5689955935892812,40,3,36,2,2
-Inf,0.6338054550605168,40,3,35,4,1
-Inf,0.66493326750643,40,3,35,3,2
-Inf,0.7073436679636536,40,3,34,5,1
-Inf,0.7475846798245739,40,3,34,4,2
-Inf,0.7598403047164004,40,3,34,3,3
-Inf,0.7725585713084648,40,3,33,6,1
-Inf,0.8200619345557181,40,3,33,5,2
-Inf,0.8414307588625516,40,3,33,4,3
-Inf,0.8306409835272817,40,3,32,7,1
-Inf,0.8841837197791889,40,3,32,6,2
-Inf,0.9128148954723553,40,3,32,5,3
-Inf,0.9219280948873623,40,3,32,4,4
-Inf,0.882425954337534,40,3,31,8,1
-Inf,0.9411388429774534,40,3,31,7,2
-Inf,0.9758093916752739,40,3,31,6,3
-Inf,0.9921849424766138,40,3,31,5,4
-Inf,0.9285270228564532,40,3,30,9,1
-Inf,0.9917601481809735,40,3,30,8,2
-Inf,1.031600849266806,40,3,30,7,3
-Inf,1.0540157730728,40,3,30,6,4
-Inf,1.061278124459133,40,3,30,5,5
-Inf,0.969409849698032,40,3,29,10,1
-Inf,1.0366587480953524,40,3,29,9,2
-Inf,1.081019685865786,40,3,29,8,3
-Inf,1.1086047620597919,40,3,29,7,4
-Inf,1.1219064864507788,40,3,29,6,5
-Inf,1.0054359543217828,40,3,28,11,1
-Inf,1.076297625725199,40,3,28,10,2
-Inf,1.1246743365684324,40,3,28,9,3
-Inf,1.1567796494470395,40,3,28,8,4
-Inf,1.1752515262260386,40,3,28,7,5
-Inf,1.1812908992306925,40,3,28,6,6
-Inf,1.0368902807106744,40,3,27,12,1
-Inf,1.1110353358017644,40,3,27,11,2
-Inf,1.1630248196510937,40,3,27,10,3
-Inf,1.199145905602501,40,3,27,9,4
-Inf,1.2221380190661009,40,3,27,8,5
-Inf,1.233347544458767,40,3,27,7,6
