set,H,n_villages,n_categories,V1,V2,V3
1,0.420026001688088,30,3,28,1,1
2,0.5608251769947301,30,3,27,2,1
3,0.6746799231474564,30,3,26,3,1
4,0.6998428398862386,30,3,26,2,2
5,0.7703437707962479,30,3,25,4,1
6,0.8118475207241324,30,3,25,3,2
7,0.8519325792170331,30,3,24,5,1
8,0.9055872616982603,30,3,24,4,2
9,0.9219280948873623,30,3,24,3,3
10,0.9218339291539106,30,3,23,6,1
11,0.9851717468169148,30,3,23,5,2
12,1.0136635125593596,30,3,23,4,3
13,0.9815912601277264,30,3,22,7,1
14,1.0529815751302694,30,3,22,6,2
15,1.0911564760544912,30,3,22,5,3
16,1.103307408607834,30,3,22,4,4
17,1.0322683996633863,30,3,21,8,1
18,1.1105522511832788,30,3,21,7,2
19,1.1567796494470395,30,3,21,6,3
20,1.1786137171821593,30,3,21,5,4
21,1.07462769858425,30,3,20,9,1
22,1.158938532350277,30,3,20,8,2
23,1.2120594671313871,30,3,20,7,3
24,1.2419460322060458,30,3,20,6,4
25,1.2516291673878228,30,3,20,5,5
26,1.1092271387984602,30,3,19,10,1
27,1.198892336661554,30,3,19,9,2
28,1.258040253688799,30,3,19,8,3
29,1.2948203552808069,30,3,19,7,4
30,1.3125559878021227,30,3,19,6,5
31,1.136477334576122,30,3,18,11,1
32,1.2309595631140104,30,3,18,10,2
33,1.295461844238322,30,3,18,9,3
34,1.3382689280764646,30,3,18,8,4
35,1.3628980971151297,30,3,18,7,5
36,1.3709505944546687,30,3,18,6,6
37,1.1566766519448637,30,3,17,12,1
38,1.2555367253996506,30,3,17,11,2
39,1.3248560371987566,30,3,17,10,3
40,1.3730174851339658,30,3,17,9,4
41,1.4036736364187659,30,3,17,8,5
42,1.418619670275654,30,3,17,7,6
43,1.1700333844140454,30,3,16,13,1
44,1.272905595320056,30,3,16,12,2
45,1.3466027520360606,30,3,16,11,3
46,1.3995812306460644,30,3,16,10,4
47,1.435591746027931,30,3,16,9,5
48,1.456564762130954,30,3,16,8,6
49,1.4634582986483033,30,3,16,7,7
50,1.1766796675107105,30,3,15,14,1
51,1.2832547532764527,30,3,15,13,2
52,1.360964047443681,30,3,15,12,3
53,1.4183203709705836,30,3,15,11,4
54,1.4591479170272448,30,3,15,10,5
55,1.4854752972273344,30,3,15,9,6
56,1.4983958159908184,30,3,15,8,7
57,1.2866926683547546,30,3,14,14,2
58,1.3681048373817144,30,3,14,13,3
59,1.4294732983598406,30,3,14,12,4
60,1.4746786893334005,30,3,14,11,5
61,1.5058231002082845,30,3,14,10,6
62,1.5240979830688353,30,3,14,9,7
63,1.53012496531497,30,3,14,8,8
64,1.433176173219572,30,3,13,13,4
65,1.4823937016443556,30,3,13,12,5
66,1.5179159574361383,30,3,13,11,6
67,1.5410078709714836,30,3,13,10,7
68,1.552389217314685,30,3,13,9,8
69,1.5219280948873621,30,3,12,12,6
70,1.549397853339606,30,3,12,11,7
71,1.5655962303576019,30,3,12,10,8
72,1.5709505944546684,30,3,12,9,9
73,1.5699740752745006,30,3,11,11,8
74,1.5801454700463617,30,3,11,10,9
75,1.584962500721156,30,3,10,10,10
