speaker,n_vowels,duration,speech_tempo
ea1976,1,0.46499999999999986,2.150537634408603
ea1976,8,1.3870000000000005,5.767844268204756
ea1976,11,1.5809999999999995,6.957621758380774
ea1976,10,1.721,5.810575246949448
ea1976,5,1.4579999999999984,3.429355281207137
ea1976,5,1.1590000000000025,4.314063848144944
ea1976,7,1.9499999999999993,3.589743589743591
ea1976,10,2.833999999999996,3.5285815102328915
ea1976,13,2.600999999999999,4.998077662437526
ea1976,17,3.5120000000000005,4.840546697038723
ea1976,11,1.8160000000000025,6.057268722466952
ea1976,5,2.003,2.4962556165751373
ea1976,3,1.211999999999989,2.4752475247524974
ea1976,23,5.555999999999997,4.139668826493883
ea1976,24,4.854000000000013,4.9443757725587005
ea1976,16,2.8070000000000164,5.7000356252226245
ea1976,18,4.25,4.235294117647059
ea1976,9,2.3100000000000023,3.896103896103892
ea1976,18,3.673999999999978,4.8992923244420545
ea1976,16,4.187000000000012,3.8213518032003715
ea1976,14,3.290999999999997,4.254026131874814
ea1976,21,3.14700000000002,6.673021925643428
ea1976,15,4.6720000000000255,3.210616438356147
ea1976,2,1.532999999999987,1.304631441617754
ea1976,5,1.8559999999999943,2.6939655172413874
ea1976,12,2.4399999999999977,4.9180327868852505
ea1976,10,2.394999999999982,4.175365344467672
ea1976,30,5.831000000000017,5.144915108900688
ea1976,10,1.6939999999999884,5.90318772136958
ea1976,13,2.244,5.793226381461675
ea1976,25,5.711999999999989,4.3767507002801205
ea1976,7,2.5809999999999604,2.712127082526194
ea1976,9,1.698000000000036,5.300353356890347
ea1976,9,1.7849999999999682,5.042016806722779
ea1976,13,2.2089999999999463,5.88501584427357
ea1976,3,0.8490000000000464,3.5335689045934466
ea1976,6,1.738999999999976,3.4502587694077533
ea1976,11,2.8319999999999936,3.884180790960461
ea1976,11,2.2700000000000387,4.845814977973486
ea1976,13,3.826999999999998,3.3969166448915615
ea1976,14,2.711999999999989,5.162241887905625
ea1976,13,1.5739999999999554,8.259212198221327
ea1976,28,5.576000000000022,5.021520803443309
ea1976,13,2.0089999999999577,6.470881035341102
ea1976,13,3.01400000000001,4.313205043132036
ea1976,12,3.411000000000002,3.5180299032541757
ea1976,14,3.242000000000018,4.318322023442295
ea1976,21,5.933999999999969,3.5389282103134665
ea1976,23,5.045000000000016,4.558969276511383
ea1976,19,4.2169999999999845,4.505572682001439
ea1976,20,3.727000000000032,5.366246310705615
ea1976,3,1.6899999999999975,1.7751479289940855
ea1976,21,4.2029999999999745,4.996431120628153
ea1976,4,1.087000000000046,3.679852805887609
ea1976,30,5.493999999999971,5.46050236621772
ea1976,10,2.2910000000000537,4.364906154517576
ea1976,11,2.911000000000002,3.7787701820680155
ea1976,24,5.143000000000029,4.666537040637734
ea1976,30,5.423999999999978,5.530973451327456
ea1976,8,1.72199999999998,4.645760743321773
ea1976,1,0.5610000000000355,1.7825311942957875
ea1976,23,5.724999999999966,4.0174672489083205
ea1976,10,2.781000000000006,3.5958288385472774
ea1976,6,2.646000000000015,2.267573696145112
ea1976,23,4.850999999999999,4.741290455576171
ea1976,21,4.233000000000004,4.961020552799428
ea1976,17,4.2450000000000045,4.0047114252061204
ea1976,27,3.9399999999999977,6.852791878172593
ea1976,8,1.7759999999999536,4.504504504504622
ea1976,4,1.5720000000000027,2.5445292620865096
ea1976,28,6.072000000000003,4.611330698287218
ea1976,23,3.1650000000000205,7.2669826224328125
ea1976,17,4.514999999999986,3.7652270210409857
ea1976,10,1.6750000000000114,5.970149253731303
ea1976,2,1.045000000000016,1.9138755980860953
ea1976,1,1.22199999999998,0.8183306055646615
ea1976,1,0.9779999999999518,1.0224948875256128
ea1976,13,2.8590000000000373,4.547044421126208
ea1976,12,2.1719999999999686,5.524861878453119
ea1976,18,3.767999999999972,4.777070063694303
ea1976,24,5.115000000000009,4.6920821114369415
ea1976,12,4.95799999999997,2.4203307785397485
ea1976,11,1.91700000000003,5.738132498695789
ea1976,24,5.529999999999973,4.339963833634741
ea1976,7,1.7849999999999682,3.9215686274510504
ea1976,7,2.613999999999919,2.6778882938026842
ea1976,24,4.205000000000041,5.707491082045129
ea1976,5,2.3039999999999736,2.1701388888889137
ea1976,17,3.148000000000025,5.400254129606056
ea1976,7,3.5710000000000264,1.9602352282273727
ea1976,30,5.570999999999913,5.3850296176629815
ea1976,19,4.177999999999997,4.547630445189089
ea1976,1,0.5300000000000864,1.8867924528298812
ea1976,18,3.95799999999997,4.547751389590736
ea1976,3,0.8439999999999372,3.5545023696685107
ea1976,23,6.544000000000096,3.514669926650315
ea1976,3,0.8629999999999427,3.4762456546931624
ea1976,24,6.793000000000006,3.5330487266303514
ea1976,22,5.33400000000006,4.124484439445023
ea1976,20,6.046999999999912,3.307425169505588
ea1976,15,3.3740000000000236,4.445761707172465
ea1976,24,6.100999999999999,3.933781347320112
ea1976,11,2.627999999999929,4.185692541857039
ea1976,15,4.038999999999987,3.713790542213431
ea1976,22,4.785000000000082,4.597701149425209
ea1976,23,4.379000000000019,5.252340717058666
ea1976,8,3.5639999999999645,2.2446689113356
ea1976,1,1.58299999999997,0.6317119393556658
ea1976,22,5.408999999999992,4.067295248659647
ea1976,28,5.880999999999972,4.761095051861951
ea1976,28,5.277000000000044,5.306045101383318
ea1976,4,1.6259999999999764,2.4600246002460384
ea1976,4,1.6129999999999427,2.4798512089275526
ea1976,19,5.335000000000036,3.5613870665416814
ea1976,9,3.618000000000052,2.4875621890546906
ea1976,25,3.816000000000031,6.551362683438102
ea1976,25,3.5379999999998972,7.066139061616938
ea1976,17,4.69500000000005,3.6208732694355312
ea1976,14,2.7309999999999945,5.126327352618099
ea1976,6,1.897000000000048,3.1628887717447802
ea1976,11,2.2619999999999436,4.862953138815329
ea1976,7,2.330000000000041,3.0042918454935092
ea1976,4,1.0249999999999773,3.9024390243903304
ea1976,20,4.432000000000016,4.512635379061355
ea1976,1,1.9669999999999843,0.5083884087442847
ea1976,24,6.782000000000039,3.5387791212031643
ea1976,5,1.4350000000000591,3.4843205574911456
ea1976,11,3.467999999999961,3.1718569780853874
ea1976,26,4.7830000000000155,5.435918879364398
ea1976,12,3.4950000000000045,3.433476394849781
ea1976,9,2.6380000000000337,3.4116755117512834
ea1976,10,2.9739999999999327,3.3624747814392153
ea1976,7,1.8250000000000457,3.8356164383560682
ea1976,3,0.8779999999999291,3.4168564920276108
ea1976,3,1.9750000000000227,1.5189873417721345
ea1976,3,2.5470000000000255,1.1778563015312014
ea1976,1,0.69399999999996,1.4409221902018121
ea1976,6,1.285000000000082,4.669260700388807
ea1976,8,1.365000000000009,5.860805860805821
ea1976,16,3.8929999999999154,4.10994091959937
ea1976,9,3.36099999999999,2.677774471883376
ea1976,3,0.8840000000000146,3.3936651583709847
ea1976,21,5.1860000000000355,4.049363671423034
ea1976,23,4.955000000000041,4.641775983854654
ea1976,21,3.3059999999999263,6.35208711433771
ea1976,8,2.646000000000072,3.0234315948600843
ea1976,3,1.2339999999999236,2.431118314424786
ea1976,12,2.358000000000061,5.089058524172897
ea1976,30,5.942000000000007,5.048805116122511
ea1976,13,2.669999999999959,4.868913857677978
ea1976,16,4.677000000000021,3.4209963651913466
ea1976,5,1.566000000000031,3.1928480204341643
ea1976,5,1.7559999999999718,2.847380410022825
ea1976,17,4.729000000000042,3.5948403467963312
ea1976,21,4.557999999999993,4.607283896445817
ea1976,8,2.145999999999958,3.7278657968313866
ea1976,6,1.8490000000000464,3.2449972958355056
ea1976,3,1.38799999999992,2.161383285302718
ea1976,30,7.677999999999997,3.907267517582705
ea1976,14,3.59699999999998,3.8921323324993264
ea1976,7,1.4920000000000757,4.691689008042657
ea1976,25,6.103999999999928,4.095674967234649
ea1976,22,5.387000000000057,4.0839056989047275
ea1976,13,2.4560000000000173,5.293159609120484
ea1976,22,3.405999999999949,6.459189665296632
ea1976,26,4.461000000000013,5.828289621161158
ea1976,1,0.9969999999999573,1.0030090270812868
ea1976,22,4.545999999999935,4.839419269687706
ea1976,13,3.5760000000001355,3.6353467561519874
ea1976,11,3.75,2.933333333333333
ea1976,21,3.7649999999998727,5.577689243028077
ea1976,14,3.411000000000058,4.1043682204631375
ea1976,25,4.529999999999973,5.518763796909526
ea1976,26,5.039999999999964,5.158730158730196
ea1976,21,4.634999999999991,4.5307443365695885
ea1976,12,2.747000000000071,4.368401892974041
ea1976,4,2.269999999999982,1.762114537444948
ea1976,16,3.897999999999911,4.104669061057046
ea1976,20,4.296000000000049,4.655493482309072
ea1976,17,4.571999999999889,3.7182852143482967
ea1976,23,5.20900000000006,4.415434824342433
ea1976,17,4.259999999999991,3.990610328638506
ea1976,18,4.858999999999924,3.7044659394937813
ea1976,16,2.9420000000000073,5.438477226376601
ea1976,20,3.4780000000000655,5.750431282346067
ea1976,6,2.4529999999999745,2.4459845087648033
ea1976,3,1.6920000000000073,1.7730496453900633
ea1976,9,1.6089999999999236,5.593536357986593
ea1976,28,5.552000000000135,5.043227665705929
ea1976,23,4.569999999999936,5.032822757111667
ea1976,15,3.02800000000002,4.953764861294551
ea1976,11,1.8599999999999,5.913978494623974
ea1976,19,4.8900000000001,3.8854805725970576
ea1976,23,5.155999999999949,4.460822342901518
ea1976,4,1.5620000000001255,2.560819462227707
ea1976,7,2.1699999999998454,3.225806451613133
ea1976,22,4.40300000000002,4.996593231887327
ea1976,7,1.7570000000000618,3.98406374501978
ea1976,19,7.038999999999987,2.6992470521380927
ea1976,16,2.798999999999978,5.716327259735665
ea1976,8,1.6059999999999943,4.981320049813218
ea1976,21,4.7560000000000855,4.415475189234572
ea1976,8,3.1700000000000728,2.523659305993633
ea1976,12,2.252999999999929,5.326231691078729
ea1976,23,5.007999999999811,4.592651757188672
ea1976,1,0.6739999999999782,1.4836795252226
ea1976,20,3.439000000000078,5.815644082582014
ea1976,19,3.9980000000000473,4.752376188093991
ea1976,22,4.671000000000049,4.709912224363042
ea1976,16,3.58400000000006,4.46428571428564
ea1976,18,4.242999999999938,4.2422814046665716
ea1976,11,2.0750000000000455,5.301204819276992
ea1976,13,2.4969999999998436,5.206247496996721
ea1976,1,1.1759999999999309,0.8503401360544718
ea1976,6,2.071999999999889,2.8957528957530507
ea1976,4,1.703000000000202,2.3487962419257347
ea1976,4,1.5450000000000728,2.5889967637539235
ea1976,26,4.533000000000129,5.735715861460238
ea1976,10,2.6230000000000473,3.8124285169652383
ea1976,30,4.041999999999916,7.4220682830283575
ea1976,14,4.201000000000022,3.332539871459159
ea1976,13,2.9179999999998927,4.455106237148896
ea1976,26,4.448000000000093,5.845323741007072
ea1976,12,1.9390000000000784,6.188757091283917
ea1976,11,2.143000000000029,5.132991133924335
ea1976,18,3.064000000000078,5.87467362924267
ea1976,21,3.078999999999951,6.820396232543143
ea1976,10,1.9699999999998,5.076142131980211
ea1976,18,2.5370000000000346,7.094994087504831
ea1976,20,3.504000000000133,5.707762557077409
ea1976,6,2.0190000000000055,2.97176820208023
ea1976,1,1.0599999999999454,0.9433962264151429
ea1976,2,1.2460000000000946,1.605136436596989
ea1976,15,2.5499999999999545,5.882352941176576
ea1976,20,3.372000000000071,5.931198102016483
ea1976,16,3.2609999999999673,4.906470407850402
ea1976,4,1.5570000000000164,2.56904303147075
ea1976,7,1.792999999999893,3.9040713887341987
ea1976,3,0.9120000000000346,3.2894736842104018
ea1976,11,2.7829999999999018,3.952569169960614
ea1976,20,3.594000000000051,5.564830272676605
ea1976,12,2.951000000000022,4.066418163334433
ea1976,14,3.5289999999999964,3.967129498441489
ea1976,28,5.467000000000098,5.121638924455734
ea1976,15,3.8019999999999072,3.945291951604515
ea1976,24,5.671000000000049,4.232057838123751
ea1976,13,2.341999999999871,5.550811272417044
ea1976,13,2.6000000000001364,4.999999999999738
ea1976,9,1.4800000000000182,6.081081081081006
ea1976,14,2.938999999999851,4.763525008506536
ea1976,17,3.509999999999991,4.843304843304856
ea1976,4,1.2989999999999782,3.079291762894586
ea1976,13,3.178000000000111,4.090623033354168
ea1976,8,2.393000000000029,3.3430839949853333
ea1976,18,3.4450000000001637,5.224963715529505
ea1976,22,7.136999999999944,3.0825276726916315
ea1976,21,5.266000000000076,3.987846562856
ea1976,23,8.186999999999898,2.8093318675950028
ea1976,30,6.076000000000022,4.937458854509528
ea1976,19,3.507000000000062,5.417735956658017
ea1976,10,2.130000000000109,4.694835680750933
ea1976,16,3.441000000000031,4.649811101423963
ea1976,4,1.1240000000000236,3.5587188612098895
ea1976,11,3.0299999999999727,3.630363036303663
ea1976,1,2.102000000000089,0.4757373929590664
ea1976,12,2.4299999999998363,4.938271604938604
ea1976,23,3.5190000000000055,6.535947712418291
ea1976,4,1.235000000000127,3.2388663967608005
ea1976,3,1.7019999999999982,1.762632197414808
ea1976,30,6.455999999999904,4.646840148698955
ea1976,10,3.958000000000084,2.526528549772559
ea1976,3,1.1440000000000057,2.622377622377609
ea1976,3,0.9619999999999892,3.1185031185031535
ea1976,13,3.5559999999998126,3.6557930258719584
ea1976,25,5.7349999999999,4.35919790758508
ea1976,12,2.54099999999994,4.722550177095743
ea1976,3,1.1920000000000073,2.5167785234899176
ea1976,12,3.66800000000012,3.271537622682554
ea1976,18,5.067000000000007,3.5523978685612736
ea1976,21,5.711000000000013,3.677114340745921
ea1976,14,3.213999999999942,4.355942750466787
ea1976,2,2.2239999999999327,0.8992805755395955
ea1976,13,3.4610000000000127,3.7561398439757157
ea1976,6,1.375,4.363636363636363
ea1976,12,3.2409999999999854,3.702560937982121
ea1976,27,6.031999999999925,4.476127320954962
ea1976,3,1.6850000000001728,1.7804154302668798
ea1976,19,5.052999999999884,3.760142489610219
ea1976,6,1.8880000000001471,3.1779661016946674
ea1976,26,4.449999999999818,5.842696629213722
