Subject,Procedure,Version,Contrast,Item,Condition,WordL,WordR,Words.ACC,Words.RT
21,TrialProc,A2,PB,10,Unrelated,FORBID,PAN,correct,2194
21,TrialProc,B1,PB,7,Unrelated,BEACH,APRICOT,correct,2054
21,TrialProc,B1,LR,6,Unrelated,RIP,MOUTH,correct,2274
21,TrialProc,B1,PB,15,Unrelated,BULL,MOVE,correct,1379
21,TrialProc,B2,LR,8,Unrelated,KIDNEY,RIVER,correct,3309
21,TrialProc,A2,PB,11,Unrelated,JAMES,POND,correct,1691
21,TrialProc,B2,LR,14,Unrelated,VOTE,ERECT,correct,4650
21,TrialProc,A1,PB,13,Unrelated,PIT,PART,correct,2308
21,TrialProc,B2,LR,2,Unrelated,EARLY,RATE,correct,2282
21,TrialProc,A1,PB,20,Unrelated,PEER,DRINK,correct,6776
