set,H,n_villages,n_categories,V1,V2,V3,V4
415,0.5031837316805837,40,4,37,1,1,1
416,0.6189955935892812,40,4,36,2,1,1
417,0.7149332675064299,40,4,35,3,1,1
418,0.7338054550605168,40,4,35,2,2,1
419,0.7975846798245739,40,4,34,4,1,1
420,0.8287124922704872,40,4,34,3,2,1
421,0.847584679824574,40,4,34,2,2,2
422,0.870061934555718,40,4,33,5,1,1
423,0.9103029464166383,40,4,33,4,2,1
424,0.9225585713084649,40,4,33,3,3,1
425,0.9414307588625517,40,4,33,3,2,2
426,0.9341837197791889,40,4,32,6,1,1
427,0.981687083026442,40,4,32,5,2,1
428,1.0030559073332757,40,4,32,4,3,1
429,1.0219280948873624,40,4,32,4,2,2
430,1.0341837197791888,40,4,32,3,3,2
431,0.9911388429774534,40,4,31,7,1,1
432,1.0446815792293607,40,4,31,6,2,1
433,1.073312754922527,40,4,31,5,3,1
434,1.0921849424766137,40,4,31,5,2,2
435,1.082425954337534,40,4,31,4,4,1
436,1.1135537667834474,40,4,31,4,3,2
437,1.1258093916752738,40,4,31,3,3,3
438,1.0417601481809733,40,4,30,8,1,1
439,1.1004730368208928,40,4,30,7,2,1
440,1.1351435855187133,40,4,30,6,3,1
441,1.1540157730728,40,4,30,6,2,2
442,1.1515191363200532,40,4,30,5,4,1
443,1.1826469487659663,40,4,30,5,3,2
444,1.1917601481809734,40,4,30,4,4,2
445,1.2040157730728,40,4,30,4,3,3
446,1.0866587480953522,40,4,29,9,1,1
447,1.1498918734198726,40,4,29,8,2,1
448,1.1897325745057052,40,4,29,7,3,1
449,1.208604762059792,40,4,29,7,2,2
450,1.212147498311699,40,4,29,6,4,1
451,1.2432753107576124,40,4,29,6,3,2
452,1.2194098496980321,40,4,29,5,5,1
453,1.2596508615589523,40,4,29,5,4,2
454,1.2719064864507788,40,4,29,5,3,3
455,1.2810196858657859,40,4,29,4,4,3
456,1.1262976257251989,40,4,28,10,1,1
457,1.1935465241225192,40,4,28,9,2,1
458,1.2379074618929526,40,4,28,8,3,1
459,1.2567796494470396,40,4,28,8,2,2
460,1.2654925380869588,40,4,28,7,4,1
461,1.2966203505328722,40,4,28,7,3,2
462,1.2787942624779458,40,4,28,6,5,1
463,1.319035274338866,40,4,28,6,4,2
464,1.3312908992306927,40,4,28,6,3,3
465,1.326297625725199,40,4,28,5,5,2
466,1.3476664500320326,40,4,28,5,4,3
467,1.3567796494470397,40,4,28,4,4,4
468,1.1610353358017642,40,4,27,11,1,1
469,1.2318970072051805,40,4,27,10,2,1
470,1.280273718048414,40,4,27,9,3,1
471,1.2991459056025008,40,4,27,9,2,2
472,1.3123790309270211,40,4,27,8,4,1
473,1.3435068433729342,40,4,27,8,3,2
474,1.33085090770602,40,4,27,7,5,1
475,1.3710919195669404,40,4,27,7,4,2
476,1.383347544458767,40,4,27,7,3,3
477,1.3368902807106742,40,4,27,6,6,1
478,1.3843936439579274,40,4,27,6,5,2
479,1.405762468264761,40,4,27,6,4,3
480,1.4130248196510937,40,4,27,5,5,3
481,1.4221380190661008,40,4,27,5,4,4
482,1.1911535278793055,40,4,26,12,1,1
483,1.2652985829703955,40,4,26,11,2,1
484,1.317288066819725,40,4,26,10,3,1
485,1.3361602543738118,40,4,26,10,2,2
486,1.3534091527711323,40,4,26,9,4,1
487,1.3845369652170454,40,4,26,9,3,2
488,1.376401266234732,40,4,26,8,5,1
489,1.4166422780956525,40,4,26,8,4,2
490,1.4288979029874789,40,4,26,8,3,3
491,1.3876107916273983,40,4,26,7,6,1
492,1.4351141548746513,40,4,26,7,5,2
493,1.456482979181485,40,4,26,7,4,3
494,1.4411535278793055,40,4,26,6,6,2
495,1.469784703572472,40,4,26,6,5,3
496,1.478897902987479,40,4,26,6,4,4
497,1.4861602543738117,40,4,26,5,5,4
498,1.2168750678823046,40,4,25,13,1,1
499,1.2940292260618127,40,4,25,12,2,1
500,1.349302093598816,40,4,25,11,3,1
501,1.3681742811529027,40,4,25,11,2,2
502,1.389035952556319,40,4,25,10,4,1
503,1.4201637650022323,40,4,25,10,3,2
