speaker,year,gender,conservative,innovative,total,feature
lso1941,1941,f,134,110,244,a-e
lgp1947,1947,f,18,180,198,a-e
gvp1949,1949,f,4,32,36,a-e
mgb1949,1949,f,13,91,104,a-e
iip1951,1951,m,12,45,57,a-e
ffp1952,1952,m,0,23,23,a-e
njae1952,1952,m,3,7,10,a-e
nvt1952,1952,m,8,102,110,a-e
ofsh1952,1952,f,17,50,67,a-e
ait1954,1954,f,19,53,72,a-e
npo1954,1954,m,9,30,39,a-e
ppp1955,1955,m,10,17,27,a-e
ipm1956,1956,m,7,47,54,a-e
ndo1958,1958,f,5,45,50,a-e
nnt1960,1960,f,0,118,118,a-e
nfm1961,1961,f,0,4,4,a-e
vap1963,1963,f,1,31,32,a-e
npo1965,1965,m,1,13,14,a-e
vkch1966,1966,m,14,66,80,a-e
ent1968,1968,f,0,41,41,a-e
juap1969,1969,m,0,16,16,a-e
nap1974,1974,f,0,29,29,a-e
svp1975,1975,m,0,87,87,a-e
vsp1996,1996,f,0,15,15,a-e
avm1922,1922,f,157,2,159,sh
ans1925,1925,f,144,2,146,sh
avt1928,1928,f,38,1,39,sh
egp1928,1928,f,166,1,167,sh
lpp1928,1928,f,26,0,26,sh
pfp1928,1928,f,177,2,179,sh
sek1930,1930,m,209,5,214,sh
mdn1933,1933,f,145,0,145,sh
opsh1935,1935,f,83,1,84,sh
lso1941,1941,f,195,7,202,sh
lgp1947,1947,f,104,4,108,sh
gvp1949,1949,f,57,4,61,sh
mgb1949,1949,f,101,0,101,sh
iip1951,1951,m,32,1,33,sh
nvt1952,1952,m,80,1,81,sh
njae1952,1952,m,17,0,17,sh
ofsh1952,1952,f,60,1,61,sh
ffp1952,1952,m,54,4,58,sh
ait1954,1954,f,83,4,87,sh
npo1954,1954,m,45,0,45,sh
ppp1955,1955,m,106,10,116,sh
ipm1956,1956,m,24,3,27,sh
ndo1958,1958,f,131,3,134,sh
nnt1960,1960,f,36,5,41,sh
nfm1961,1961,f,18,136,154,sh
vap1963,1963,f,20,71,91,sh
npo1965,1965,m,13,0,13,sh
vkch1966,1966,m,68,4,72,sh
ent1968,1968,f,1,59,60,sh
juap1969,1969,m,9,1,10,sh
nap1974,1974,f,1,40,41,sh
svp1975,1975,m,8,69,77,sh
vsp1996,1996,f,0,20,20,sh
avm1922,1922,f,53,7,60,prep
ans1925,1925,f,24,2,26,prep
avt1928,1928,f,1,0,1,prep
egp1928,1928,f,36,3,39,prep
pfp1928,1928,f,66,1,67,prep
sek1930,1930,m,22,3,25,prep
mdn1933,1933,f,43,30,73,prep
opsh1935,1935,f,26,0,26,prep
lso1941,1941,f,51,5,56,prep
lgp1947,1947,f,21,38,59,prep
gvp1949,1949,f,2,5,7,prep
mgb1949,1949,f,26,33,59,prep
iip1951,1951,m,13,3,16,prep
nvt1952,1952,m,23,1,24,prep
njae1952,1952,m,6,0,6,prep
ofsh1952,1952,f,16,3,19,prep
ffp1952,1952,m,1,13,14,prep
ait1954,1954,f,9,5,14,prep
npo1954,1954,m,42,1,43,prep
ppp1955,1955,m,9,1,10,prep
ipm1956,1956,m,17,2,19,prep
ndo1958,1958,f,21,11,32,prep
nnt1960,1960,f,6,54,60,prep
nfm1961,1961,f,0,38,38,prep
vap1963,1963,f,0,52,52,prep
npo1965,1965,m,3,62,65,prep
vkch1966,1966,m,6,0,6,prep
ent1968,1968,f,0,37,37,prep
juap1969,1969,m,1,7,8,prep
nap1974,1974,f,0,16,16,prep
svp1975,1975,m,0,18,18,prep
vsp1996,1996,f,0,4,4,prep
avm1922,1922,f,79,8,87,refl1
ans1925,1925,f,161,21,182,refl1
avt1928,1928,f,31,5,36,refl1
egp1928,1928,f,73,8,81,refl1
lpp1928,1928,f,10,1,11,refl1
pfp1928,1928,f,131,2,133,refl1
sek1930,1930,m,53,33,86,refl1
mdn1933,1933,f,58,8,66,refl1
opsh1935,1935,f,100,14,114,refl1
lso1941,1941,f,166,51,217,refl1
lgp1947,1947,f,24,60,84,refl1
mgb1949,1949,f,72,23,95,refl1
gvp1949,1949,f,22,11,33,refl1
iip1951,1951,m,54,26,80,refl1
nvt1952,1952,m,42,8,50,refl1
njae1952,1952,m,19,10,29,refl1
ofsh1952,1952,f,54,15,69,refl1
ffp1952,1952,m,4,21,25,refl1
ait1954,1954,f,36,25,61,refl1
npo1954,1954,m,17,23,40,refl1
ppp1955,1955,m,33,23,56,refl1
ipm1956,1956,m,30,16,46,refl1
ndo1958,1958,f,48,14,62,refl1
nnt1960,1960,f,5,25,30,refl1
nfm1961,1961,f,11,106,117,refl1
vap1963,1963,f,4,51,55,refl1
npo1965,1965,m,53,119,172,refl1
vkch1966,1966,m,52,15,67,refl1
ent1968,1968,f,1,46,47,refl1
juap1969,1969,m,0,10,10,refl1
nap1974,1974,f,10,35,45,refl1
svp1975,1975,m,5,74,79,refl1
vsp1996,1996,f,1,10,11,refl1
avm1922,1922,f,15,46,61,refl2
ans1925,1925,f,42,67,109,refl2
avt1928,1928,f,4,44,48,refl2
egp1928,1928,f,5,94,99,refl2
lpp1928,1928,f,0,21,21,refl2
pfp1928,1928,f,23,42,65,refl2
sek1930,1930,m,0,66,66,refl2
mdn1933,1933,f,18,31,49,refl2
opsh1935,1935,f,30,52,82,refl2
lso1941,1941,f,17,127,144,refl2
lgp1947,1947,f,14,61,75,refl2
mgb1949,1949,f,3,83,86,refl2
gvp1949,1949,f,0,51,51,refl2
